代號, 名稱,divavg, y18, y17, y16, y15, y14
2243, 宏旭-KY,0.1,0,0.5, nan, nan, nan
2301, 光寶科,2.584,2.92,2.92,2.92,2.19,1.97
2302, 麗正,0.072,0,0, nan,0.02,0.34
2303, 聯電,0.58,0.59,0.71,0.5,0.55,0.55
2305, 全友,0,0,0, nan, nan, nan
2308, 台達電,5.34,5,5,5,5,6.7
2312, 金寶,0.242,0.3,0.31,0.3,0.3, nan
2313, 華通,0.84,0.8,1.2,0.6,1,0.6
2314, 台揚,0.104,0.2,0.2,0.12,0, nan
2316, 楠梓電,1.4,1,0, nan,4.5,1.5
2317, 鴻海,3.66,4,2,4.5,4,3.8
2321, 東訊,0,0,0, nan, nan, nan
2323, 中環,0,0,0, nan, nan, nan
2324, 仁寶,1.26,1.2,1.2,1.2,1.2,1.5
2327, 國巨,13.738,44.83,14.86,3,2,4
2328, 廣宇,0.648,1.1,0.8,0.7,0.35,0.29
2329, 華泰,0,0,0, nan, nan, nan
2330, 台積電,5.6,2.5,8,7,6,4.5
2331, 精英,1.6,0,1, nan,2,5
2332, 友訊,0.16,0.2,0,0.3,0.3,0
2337, 旺宏,0.44,1.2,1, nan, nan, nan
2338, 光罩,0.326,0.83,0, nan,0.3,0.5
2340, 光磊,0.958,0.5,1.35,1.19,1,0.75
2342, 茂矽,0.054,0.27,0, nan, nan, nan
2344, 華邦電,0.54,1,1,0.6,0.1, nan
2345, 智邦,2.854,4,4.13,3.1,1.96,1.08
2347, 聯強,2,2,2.2,1,1.5,3.3
2348, 海悅,1.58,3.8,3.6, nan, nan,0.5
2349, 錸德,0,0,0, nan, nan, nan
2351, 順德,2.4,2.8,2.5,2.5,2,2.2
2352, 佳世達,0.934,0.85,1.35,1.32,0.55,0.6
2353, 宏碁,0.494,0.77,0.7,0.5,0.5,0
2354, 鴻準,3.22,3.2,3.6,3.8,3,2.5
2355, 敬鵬,2.15,0.5,2.25,3.2,2.6,2.2
2356, 英業達,1.55,1.5,1.65,1.45,1.4,1.75
2357, 華碩,15.8,15,15,17,15,17
2358, 廷鑫,0,0,0,0, nan, nan
2359, 所羅門,1.02,1.1,1,1,1,1
2360, 致茂,3.378,4.18,4.48,3.22,2.4,2.61
2362, 藍天,1.23,1,0.84,0.71,1.1,2.5
2363, 矽統,0,0,0, nan, nan, nan
2364, 倫飛,0,0,0, nan, nan, nan
2365, 昆盈,0.21,0.2,0.3, nan,0.16,0.39
2367, 燿華,0.42,0.4,0.3, nan,0.7,0.7
2368, 金像電,0,0,0, nan, nan, nan
2369, 菱生,0.398,0.2,0.5,0.5,0.26,0.53
2371, 大同,0,0,0, nan, nan, nan
2373, 震旦行,4.29,6,6,3.25,3.2,3
2374, 佳能,0.74,0.5,0.8,0.9,1.5, nan
2375, 凱美,1.428,3,3, nan,0,1.14
2376, 技嘉,2.96,3,4,2.6,2.5,2.7
2377, 微星,4.1,5,4.5,4.5,3.5,3
2379, 瑞昱,5.5,7,5.5,5,4,6
2380, 虹光,0,0,0, nan, nan, nan
2382, 廣達,3.65,3.55,3.4,3.5,3.8,4
2383, 台光電,4.018,3.8,4.8,4.7,4.29,2.5
2385, 群光,4.29,3.8,4.45,4.25,4.3,4.65
2387, 精元,0.504,1.01,0.4,0.48,0.48,0.15
2388, 威盛,0,0,0, nan, nan, nan
2390, 云辰,0.052,0,0,0.06,0.2, nan
2392, 正崴,1.8,1.5,2,1.5,2,2
2393, 億光,2.896,1.5,2.99,3,3,3.99
2395, 研華,6.34,6.8,6.6,6.3,6,6
2397, 友通,3.882,5.28,4.2,4.5,2.85,2.58
2399, 映泰,0.16,0,0.8, nan, nan, nan
2401, 凌陽,0.61,0.36,0.7,0.5,0.89,0.6
2402, 毅嘉,0.51,0.5,0, nan, nan,2.05
2404, 漢唐,5.7,10,6,6,4,2.5
2405, 浩鑫,0.024,0,0,0.12, nan, nan
2406, 國碩,0,0,0, nan, nan, nan
2408, 南亞科,3.384,7.11,3.51,1.5,2.8,2
2409, 友達,0.682,0.5,1.5,0.56,0.35,0.5
2412, 中華電,4.914,4.48,4.8,4.94,5.49,4.86
2413, 環科,0.1,0,0, nan,0.5, nan
2414, 精技,1.32,1.45,1.4,1.3,1.25,1.2
2415, 錩新,1.04,1.5,1,0.9,0.8,1
2417, 圓剛,0.1,0.1,0.1,0.1,0.1,0.1
2419, 仲琦,1.014,0.81,1.23,1.77,0.75,0.51
2420, 新巨,2.9,2.8,2.7,3,2.5,3.5
2421, 建準,1.8,2,2.3,2,1.5,1.2
2423, 固緯,1.14,1.8,1.5,1.2,0.7,0.5
2424, 隴華,0,0,0, nan, nan, nan
2425, 承啟,0.462,1.5,0,0.15,0.3,0.36
2426, 鼎元,0.942,1.2,0.7,0.89,1.02,0.9
2427, 三商電,0.24,0.4,0.25,0.2,0.1,0.25
2428, 興勤,3.14,3.8,4,3.3,2.5,2.1
2429, 銘旺科,0,0,0, nan, nan, nan
2430, 燦坤,1.172,0.9,1.36,2,1.2,0.4
2431, 聯昌,0.244,0,0,0.77,0.27,0.18
2433, 互盛電,3.24,3.5,3.5,2.7,3.3,3.2
2434, 統懋,0,0,0, nan, nan, nan
2436, 偉詮電,0.7,1,0.6,0.5,0.5,0.9
2438, 翔耀,0,0,0, nan,0, nan
2439, 美律,8.24,8.5,15.82,8.88,3.2,4.8
2440, 太空梭,0,0,0, nan, nan, nan
2441, 超豐,2.73,2.7,3,2.75,2.4,2.8
2442, 新美齊,0.118,0.5,0,0.01,0.05,0.03
2443, 億麗,0,0,0, nan, nan, nan
2444, 兆勁,0.236,0,0.1,0.43,0.15,0.5
2448, 晶電,0.386,0.3,0.8, nan, nan,0.83
2449, 京元電子,1.59,1.35,1.8,1.8,1.2,1.8
2450, 神腦,2.632,1.45,3.17,3.98,3,1.56
2451, 創見,6.32,5,6,6,6.8,7.8
2453, 凌群,0.56,0.5,0.7,0.5,0.5,0.6
2454, 聯發科,12.3,9,10,9.5,11,22
2455, 全新,2.336,2.5,2.5,2.53,2.15,2
2456, 奇力新,3.928,7.99,1.95,4,3.2,2.5
2457, 飛宏,0.096,0,0, nan, nan,0.48
2458, 義隆,2.968,5,2.58,1.57,2.03,3.66
2459, 敦吉,2.726,3,3,2.6,2.5,2.53
2460, 建通,0.04,0,0, nan, nan,0.2
2461, 光群雷,0.54,0.41,0.56,0.81,0.5,0.42
2462, 良得電,0.48,0.5,0,0.6,0.2,1.1
2464, 盟立,2,3.3,1.5,1.8,2.3,1.1
2465, 麗臺,0,0,0, nan,0, nan
2466, 冠西電,0,0,0, nan, nan,0
2467, 志聖,1.16,2.5,1.5,0.5, nan,1.3
2468, 華經,0.48,0.5,0.4,0.5,0.5,0.5
2471, 資通,1.148,1.2,1,1.34,1,1.2
2472, 立隆電,2.24,2.3,2.2,2.4,2.5,1.8
2474, 可成,10,12,12,10,10,6
2476, 鉅祥,1.518,1.26,1.6,1.7,1.53,1.5
2477, 美隆電,0.852,0.86,1.3, nan,1.1,1
2478, 大毅,0.88,2.5,0.8,0.5,0.2,0.4
2480, 敦陽科,2.428,3.42,2.62,2.1,2,2
2481, 強茂,0.52,0.5,0,1,0.9,0.2
2482, 連宇,0.094,0,0,0.32,0.15, nan
2483, 百容,1.298,1.29,1.3,1.3,1.3,1.3
2484, 希華,1.17,1.45,1,1.2,1.2,1
2485, 兆赫,1.16,0.5,0.4,1.4,2,1.5
2486, 一詮,0.15,0,0, nan, nan,0.75
2488, 漢平,2.34,2.5,1.9,3.5,2.2,1.6
2489, 瑞軒,1.02,0,0,1.7,1.8,1.6
2491, 吉祥全,0,0,0, nan, nan, nan
2492, 華新科,4.522,16.33,4.02,1.21,0.75,0.3
2493, 揚博,2.33,2.5,1.75,2.3,2.3,2.8
2495, 普安,0.64,0.4,0.4,0.9,0.9,0.6
2496, 卓越,2.6,4,6.5,2.5, nan, nan
2497, 怡利電,1,0,0,0.5,1.5,3
2498, 宏達電,0.152,0.38,0, nan, nan,0.38
2499, 東貝,0.262,0,0, nan,0.3,1.01
2501, 國建,1.16,2.1,1.2,1.5, nan,1
2504, 國產,0.25,0.25,0.5, nan,0.1,0.4
2505, 國揚,0.25,0.5,0.25, nan,0.4,0.1
2506, 太設,0.202,0.16,0.15,0.1,0.2,0.4
2509, 全坤建,1,0.6,0.4,1.2,1.6,1.2
2511, 太子,0.84,0.65,0.65,1,1.1,0.8
2514, 龍邦,0.272,0.25,0.25,0.35,0.21,0.3
2515, 中工,0.19,0.2,0.19,0.19,0.2,0.17
2516, 新建,0.17,0,0,0.25,0.3,0.3
2520, 冠德,1.12,1,0.5,1.1,1,2
2524, 京城,0.56,0,2, nan, nan,0.8
2527, 宏璟,1.08,1.2,0.8,0.8,1.1,1.5
2528, 皇普,0.04,0,0, nan, nan,0.2
2530, 華建,0.54,0.3,0,0.8,1.6, nan
2534, 宏盛,0.78,0,2,1,0.5,0.4
2535, 達欣工,1.46,1.62,1.6,1.58,1,1.5
2536, 宏普,1.84,1,1.5,2.1,2.6,2
2537, 聯上發,0.28,0,0,0.4,0.8,0.2
2538, 基泰,0.988,0.6,0.8,1,1.3,1.24
2539, 櫻花建,1.08,0.2,1.5,1.6,1.1,1
2540, 愛山林,0,0,0, nan, nan, nan
2542, 興富發,4.6,4.5,3.5,5,6,4
2543, 皇昌,0.122,0,0,0.3,0.31, nan
2545, 皇翔,2.6,1.8,1.5,4.5,1.2,4
2546, 根基,1.832,3,2.16,1.5,1,1.5
2547, 日勝生,0.36,0.8,0, nan, nan,1
2548, 華固,5.26,5,5.2,5.6,5.5,5
2596, 綠意,1.74,2,2,2.2,1,1.5
2597, 潤弘,4.65,4.8,2.35,4,4.6,7.5
2601, 益航,0.07,0.1,0,0, nan,0.25
2603, 長榮,0.06,0,0.2,0, nan,0.1
2605, 新興,0.7,0.2,0.6,0.7,1,1
2606, 裕民,1.39,1.8,1.2,0.75,1,2.2
2607, 榮運,0.35,0.35,0.35,0.35,0.35,0.35
2608, 嘉里大榮,1.576,1.56,1.6,1.5,1.72,1.5
2609, 陽明,0,0,0,0, nan, nan
2610, 華航,0.178,0.21,0.22, nan,0.46, nan
2611, 志信,0.172,0.41,0.1, nan,0.15,0.2
2612, 中航,0.82,1.6,0.5,0.5,0.2,1.3
2613, 中櫃,0.18,0.28,0.33,0.07,0.04,0.18
2614, 東森,0.2,1,0, nan, nan, nan
2615, 萬海,0.942,0.61,0.5,0.4,1.2,2
2616, 山隆,1.834,1.6,2.51,2.06,1.5,1.5
2617, 台航,0.574,1.3,0.7, nan,0.22,0.65
2618, 長榮航,0.24,0.5,0.2,0.2,0.3, nan
2630, 亞航,0.76,1,1.25,1.55, nan, nan
2633, 台灣高鐵,0.624,1.12,0.75,0.6,0.65, nan
2634, 漢翔,1.15,1.34,1.13,1,1.36,0.92
2636, 台驊投控,1.48,2.2,1.3,0.8,1.8,1.3
2637, 慧洋-KY,1.782,1.49,1,1,2.5,2.92
2640, 大車隊,3.096,3.3,3.5,0.5,3.28,4.9
2641, 正德,0.06,0,0,0,0.1,0.2
2642, 宅配通,0.76,0.6,1.05,0.45,0.6,1.1
2643, 捷迅,1.658,2,2,2.29,2, nan
2701, 萬企,0.252,0.4,0.25,0.25,0.2,0.16
2702, 華園,0.124,0.2,0,0.15,0.12,0.15
2704, 國賓,0.58,0.4,0.4,0.7,0.7,0.7
2705, 六福,0.044,0,0, nan,0.05,0.17
2706, 第一店,0.258,0.45,0.28,0.2,0.18,0.18
2707, 晶華,8.896,11.02,6.91,8.17,8.87,9.51
2712, 遠雄來,0.492,0,0.11,0.5,0.85,1
2718, 晶悅,0.38,0,0.2,0.5,0.7,0.5
2719, 燦星旅,0.144,0,0, nan, nan,0.72
2722, 夏都,0.42,0.2,0.4,0.5,0.5,0.5
2723, 美食-KY,3.94,5,6,5,2.5,1.2
2724, 富驛-KY,0,0, nan, nan, nan, nan
2726, 雅茗-KY,2.684,2.98,3.99,2.95,1.5,2
2727, 王品,4.496,4.39,5.5,3.5,1,8.09
2729, 瓦城,11.68,13.6,12.6,11.6,10.6,10
2731, 雄獅,4.36,3.8,5.2,4,4.6,4.2
2732, 六角,4.012,4.38,3.94,3.74,4,4
2734, 易飛網,0.18,0,0, nan,0.5,0.4
2736, 高野,0.6,0.1,0.1,0.3,2.5, nan
2739, 寒舍,1.348,1,1,2.2,2.54, nan
2740, 天蔥,0.294,0,0, nan,1.47, nan
2745, 五福,0.472,0.3,1.76,0.3, nan, nan
2748, 雲品,2.1,2.75,2.75,2.5,2.5, nan
2752, 豆府,0,0, nan, nan, nan, nan
2801, 彰銀,0.412,0.64,0.45,0.42,0.35,0.2
2809, 京城銀,1.3,1.5,1.5,1.5,0.5,1.5
