代號, 名稱, y18, y17, y16, y15, y14
5245, 智晶,1.5,5,5,2.37,2.26
5251, 天鉞電,0,0.6,1.36,2.01,3.49
5258, 虹堡,0,0.4,2, nan, nan
5263, 智崴,4,4,2.5,2.5,1.95
5264, 鎧勝-KY,1,2.5,4,8,7.2
5269, 祥碩,12,6,4.5,3,3
5272, 笙科,0,1.5,1.11,1,2.5
5274, 信驊,18,15,12,8,7
5276, 達輝-KY,0.54,0.67,1.02,2,2
5278, 尚凡,5,0, nan, nan,0.96
5281, 大峽谷-KY,1,1,0.2,0.53, nan
5283, 禾聯碩,9,7,4, nan, nan
5284, jpp-KY,2.6,3.17,2.56,3.11,2.4
5285, 界霖,3.54,3.16,1.55,1.8,1.5
5287, 數字,12.5,15.5,10.5,12,12.5
5288, 豐祥-KY,5,4,4,5.01,3.5
5289, 宜鼎,6,5.61,4.37,4.47,4.5
5291, 邑昇,0.8,0, nan,0.31,1.78
5299, 杰力,5.1,2.75,0.79, nan, nan
5301, 寶得利,0,0, nan,0.15,0.15
5302, 太欣,0,0, nan, nan, nan
5304, 鼎創達,0,0, nan, nan, nan
5305, 敦南,2.2,1.6,1.2,1.2,1
5306, 桂盟,4.5,4.5,3.25,2.5,1.5
5309, 系統電,0,0, nan, nan, nan
5310, 天剛,0,0, nan,0.3,0
5312, 寶島科,3.8,3.8,3.6,3.6,3.6
5314, 世紀,0,0, nan, nan, nan
5315, 光聯,1.47,1,2.5, nan, nan
5321, 友銓,0,0, nan, nan, nan
5324, 士開,0,0, nan, nan, nan
5328, 華容,0,0,0.31, nan, nan
5340, 建榮,0,0, nan, nan, nan
5344, 立衛,0,0, nan, nan, nan
5345, 天揚,0,0, nan,0.3, nan
5347, 世界,3.2,3,3,2.6,2.6
5348, 系通,0,0, nan, nan, nan
5349, 先豐,0,0,1.24,2.57,3.14
5351, 鈺創,0,0, nan, nan,0.2
5353, 台林,1.12,0.6,0.4,0.28,0.42
5355, 佳總,0,0, nan, nan,0.35
5356, 協益,2,2,4,4,5.5
5364, 力麗店,0,0,1,1, nan
5371, 中光電,3.5,3,2,1.5,3.5
5381, 合正,0,0, nan, nan, nan
5383, 金利,0,0, nan, nan,0.5
5386, 青雲,0.5,1,1.3,1,0
5388, 中磊,2.5,3.75,4.2,4,2.99
5392, 應華,0.47,1,0.62,1,0.1
5398, 慕康生醫,0,0.13, nan, nan, nan
5403, 中菲,3,3.4,3,2.6,1
5410, 國眾,1.3,1.23,1,1.22,1.08
5425, 台半,3,2.98,2.5,2.5,2
5426, 振發,1,0,1,0.6,1
5432, 達威,0.5,0, nan, nan, nan
5434, 崇越,5.3,4.2,5,3.9,3.7
5438, 東友,1.05,1.5,1.2,1.2,1
5439, 高技,2.8,2,0,1.5,1.6
5443, 均豪,1.3,1.22,1.4,1,0.8
5450, 寶聯通,0,0, nan, nan, nan
5452, 佶優,0.2,0,0.15,0.2,0.15
5455, 昇益,0,0, nan, nan, nan
5457, 宣德,0,0, nan,0.5, nan
5460, 同協,0.3,0.5,0.65,0.8,0.9
5464, 霖宏,1,0,0.4,1.5,2.2
5465, 富驊,0.27,0, nan,0.26,0.2
5468, 凱鈺,0,0, nan, nan, nan
5469, 瀚宇博,1,0.8,0.6,0.2,0.6
5471, 松翰,2.08,1.5,1.8,2.2,3.2
5474, 聰泰,3.8,3.3,3.3,4.2,3.5
5475, 德宏,0,0, nan, nan, nan
5478, 智冠,2.2,2,2,1.5,2.3
5481, 新華,0.4,0, nan, nan, nan
5483, 中美晶,3,3,1.5,1.5,1.8
5484, 慧友,0,0, nan, nan, nan
5487, 通泰,0.88,1.47,1.6,1.7,2
5488, 松普,1.35,0,0.08, nan, nan
5489, 彩富,2,1.5,1.8,3.5,4.08
5490, 同亨,0.5,1,4,4.5,2.5
5493, 三聯,1.75,1.6,2,2.2,1.5
5498, 凱崴,0,0.02, nan, nan, nan
5508, 永信建,2.86,2.72,1.81,2.37,6.11
5511, 德昌,2.1,1.2,0.5,0.6,2.65
5512, 力麒,0.4,0.7,0.1,0.5,0.8
5514, 三豐,0.2,0.6,0.35, nan,0.5
5515, 建國,0.5,0.5,0.5,0.5,0.52
5516, 雙喜,0,0, nan, nan, nan
5519, 隆大,0.95,0.4,0.5,0.6,0.6
5520, 力泰,1.2,1.2,1.75,1.5,1.35
5521, 工信,0,0.6,0.2, nan, nan
5522, 遠雄,3,2.5,3.8,3.5,3.8
5523, 豐謙,0.2,0.2, nan, nan, nan
5525, 順天,2,1.2,0.3,1.5,1.2
5529, 志嘉,0,0, nan, nan,0.25
5530, 龍巖,3,2.5,1.2,0.5,3.6
5531, 鄉林,0,0,0, nan,0
5533, 皇鼎,0.7,0.7,0.65,0.5,0.6
5534, 長虹,7,6.2,6,2.83,4
5536, 聖暉,15,13,8.01,6,2
5538, 東明-KY,2,2.5,2,1,2.2
5543, 崇佑-KY,0.5,0.8,0.2,0.97, nan
5601, 台聯櫃,0,0.3,0.3,0.5,0.7
5603, 陸海,0,0.6,0.7,1.1,1.5
5604, 中連貨,3.75,1.5,1.2,3.2,1.8
5607, 遠雄港,0.4,0.2, nan, nan, nan
5608, 四維航,0,0, nan, nan,0.51
5609, 中菲行,1.5,1.18,2,1.02,1.02
5701, 劍湖山,0,0, nan, nan, nan
5703, 亞都,0,0.2,0.2,0.5,0.35
5704, 老爺知,0.5,0.3, nan,1,1.25
5706, 鳳凰,1.61,3,2,2.7,1.5
5820, 日盛金,0.6,0.52,0.08,0.11,0.14
5864, 致和證,0.6,0.5,0.62, nan, nan
5871, 中租-KY,4.2,3.8,3.4,3.1,2.8
5876, 上海商銀,2,1.8,1.5, nan, nan
5878, 台名,2.75,3.2,3.2,3,1
